sentence,entity1,entity2,label
"Our resource-frugal approach results in 87.5 % agreement with a state of the art , proprietary Arabic stemmer built using rules , affix lists , and human annotated text , in addition to an unsupervised component .",agreement,resource-frugal approach,EVALUATE-FOR
"Our resource-frugal approach results in 87.5 % agreement with a state of the art , proprietary Arabic stemmer built using rules , affix lists , and human annotated text , in addition to an unsupervised component .",agreement,Arabic stemmer,EVALUATE-FOR
"Our resource-frugal approach results in 87.5 % agreement with a state of the art , proprietary Arabic stemmer built using rules , affix lists , and human annotated text , in addition to an unsupervised component .",rules,Arabic stemmer,USED-FOR
"Our resource-frugal approach results in 87.5 % agreement with a state of the art , proprietary Arabic stemmer built using rules , affix lists , and human annotated text , in addition to an unsupervised component .",rules,affix lists,CONJUNCTION
"Our resource-frugal approach results in 87.5 % agreement with a state of the art , proprietary Arabic stemmer built using rules , affix lists , and human annotated text , in addition to an unsupervised component .",affix lists,Arabic stemmer,USED-FOR
"Our resource-frugal approach results in 87.5 % agreement with a state of the art , proprietary Arabic stemmer built using rules , affix lists , and human annotated text , in addition to an unsupervised component .",affix lists,human annotated text,CONJUNCTION
"Our resource-frugal approach results in 87.5 % agreement with a state of the art , proprietary Arabic stemmer built using rules , affix lists , and human annotated text , in addition to an unsupervised component .",human annotated text,Arabic stemmer,USED-FOR
"Our resource-frugal approach results in 87.5 % agreement with a state of the art , proprietary Arabic stemmer built using rules , affix lists , and human annotated text , in addition to an unsupervised component .",human annotated text,unsupervised component,CONJUNCTION
"Our resource-frugal approach results in 87.5 % agreement with a state of the art , proprietary Arabic stemmer built using rules , affix lists , and human annotated text , in addition to an unsupervised component .",unsupervised component,Arabic stemmer,USED-FOR
"Task-based evaluation using Arabic information retrieval indicates an improvement of 22-38 % in average precision over unstemmed text , and 96 % of the performance of the proprietary stemmer above .",Arabic information retrieval,Task-based evaluation,USED-FOR
"Task-based evaluation using Arabic information retrieval indicates an improvement of 22-38 % in average precision over unstemmed text , and 96 % of the performance of the proprietary stemmer above .",average precision,Task-based evaluation,EVALUATE-FOR
"Task-based evaluation using Arabic information retrieval indicates an improvement of 22-38 % in average precision over unstemmed text , and 96 % of the performance of the proprietary stemmer above .",average precision,unstemmed text,EVALUATE-FOR
The paper assesses the capability of an HMM-based TTS system to produce German speech .,HMM-based TTS system,German speech,USED-FOR
"In addition , the system is adapted to a small set of football announcements , in an exploratory attempt to synthe-sise expressive speech .",system,football announcements,USED-FOR
"In addition , the system is adapted to a small set of football announcements , in an exploratory attempt to synthe-sise expressive speech .",system,expressive speech,USED-FOR
"We conclude that the HMMs are able to produce highly intelligible neutral German speech , with a stable quality , and that the expressivity is partially captured in spite of the small size of the football dataset .",HMMs,intelligible neutral German speech,USED-FOR
"Furthermore , in contrast to the approach of Dalrymple et al. -LSB- 1991 -RSB- , the treatment directly encodes the intuitive distinction between full NPs and the referential elements that corefer with them through what we term role linking .",full NPs,referential elements,CONJUNCTION
"Finally , the analysis extends directly to other discourse copying phenomena .",analysis,discourse copying phenomena,USED-FOR
"How to obtain hierarchical relations -LRB- e.g. superordinate - hyponym relation , synonym relation -RRB- is one of the most important problems for thesaurus construction .",hierarchical relations,thesaurus construction,PART-OF
"How to obtain hierarchical relations -LRB- e.g. superordinate - hyponym relation , synonym relation -RRB- is one of the most important problems for thesaurus construction .",superordinate - hyponym relation,hierarchical relations,HYPONYM-OF
"How to obtain hierarchical relations -LRB- e.g. superordinate - hyponym relation , synonym relation -RRB- is one of the most important problems for thesaurus construction .",superordinate - hyponym relation,synonym relation,CONJUNCTION
"How to obtain hierarchical relations -LRB- e.g. superordinate - hyponym relation , synonym relation -RRB- is one of the most important problems for thesaurus construction .",synonym relation,hierarchical relations,HYPONYM-OF
"A pilot system for extracting these relations automatically from an ordinary Japanese language dictionary -LRB- Shinmeikai Kokugojiten , published by Sansei-do , in machine readable form -RRB- is given .",Japanese language dictionary,relations,USED-FOR
"The features of the definition sentences in the dictionary , the mechanical extraction of the hierarchical relations and the estimation of the results are discussed .",definition sentences,features,USED-FOR
"The features of the definition sentences in the dictionary , the mechanical extraction of the hierarchical relations and the estimation of the results are discussed .",definition sentences,dictionary,PART-OF
This is evident most compellingly by the very low recognition rate of all existing face recognition systems when applied to live CCTV camera input .,recognition rate,face recognition systems,EVALUATE-FOR
This is evident most compellingly by the very low recognition rate of all existing face recognition systems when applied to live CCTV camera input .,live CCTV camera input,face recognition systems,USED-FOR
"In this paper , we present a Bayesian framework to perform multi-modal -LRB- such as variations in viewpoint and illumination -RRB- face image super-resolution for recognition in tensor space .",Bayesian framework,face image super-resolution,USED-FOR
"In this paper , we present a Bayesian framework to perform multi-modal -LRB- such as variations in viewpoint and illumination -RRB- face image super-resolution for recognition in tensor space .",viewpoint,illumination,CONJUNCTION
"In this paper , we present a Bayesian framework to perform multi-modal -LRB- such as variations in viewpoint and illumination -RRB- face image super-resolution for recognition in tensor space .",face image super-resolution,recognition,USED-FOR
"In this paper , we present a Bayesian framework to perform multi-modal -LRB- such as variations in viewpoint and illumination -RRB- face image super-resolution for recognition in tensor space .",tensor space,recognition,FEATURE-OF
"Given a single modal low-resolution face image , we benefit from the multiple factor interactions of training tensor , and super-resolve its high-resolution reconstructions across different modalities for face recognition .",single modal low-resolution face image,high-resolution reconstructions,USED-FOR
"Given a single modal low-resolution face image , we benefit from the multiple factor interactions of training tensor , and super-resolve its high-resolution reconstructions across different modalities for face recognition .",multiple factor interactions of training tensor,high-resolution reconstructions,USED-FOR
"Given a single modal low-resolution face image , we benefit from the multiple factor interactions of training tensor , and super-resolve its high-resolution reconstructions across different modalities for face recognition .",high-resolution reconstructions,face recognition,USED-FOR
"Given a single modal low-resolution face image , we benefit from the multiple factor interactions of training tensor , and super-resolve its high-resolution reconstructions across different modalities for face recognition .",modalities,high-resolution reconstructions,FEATURE-OF
"Instead of performing pixel-domain super-resolution and recognition independently as two separate sequential processes , we integrate the tasks of super-resolution and recognition by directly computing a maximum likelihood identity parameter vector in high-resolution tensor space for recognition .",super-resolution,pixel-domain super-resolution and recognition,HYPONYM-OF
"Instead of performing pixel-domain super-resolution and recognition independently as two separate sequential processes , we integrate the tasks of super-resolution and recognition by directly computing a maximum likelihood identity parameter vector in high-resolution tensor space for recognition .",super-resolution,recognition,CONJUNCTION
"Instead of performing pixel-domain super-resolution and recognition independently as two separate sequential processes , we integrate the tasks of super-resolution and recognition by directly computing a maximum likelihood identity parameter vector in high-resolution tensor space for recognition .",recognition,pixel-domain super-resolution and recognition,HYPONYM-OF
"Instead of performing pixel-domain super-resolution and recognition independently as two separate sequential processes , we integrate the tasks of super-resolution and recognition by directly computing a maximum likelihood identity parameter vector in high-resolution tensor space for recognition .",maximum likelihood identity parameter vector,super-resolution,USED-FOR
"Instead of performing pixel-domain super-resolution and recognition independently as two separate sequential processes , we integrate the tasks of super-resolution and recognition by directly computing a maximum likelihood identity parameter vector in high-resolution tensor space for recognition .",maximum likelihood identity parameter vector,recognition,USED-FOR
"Instead of performing pixel-domain super-resolution and recognition independently as two separate sequential processes , we integrate the tasks of super-resolution and recognition by directly computing a maximum likelihood identity parameter vector in high-resolution tensor space for recognition .",maximum likelihood identity parameter vector,recognition,USED-FOR
"Instead of performing pixel-domain super-resolution and recognition independently as two separate sequential processes , we integrate the tasks of super-resolution and recognition by directly computing a maximum likelihood identity parameter vector in high-resolution tensor space for recognition .",high-resolution tensor space,maximum likelihood identity parameter vector,FEATURE-OF
"We show results from multi-modal super-resolution and face recognition experiments across different imaging modalities , using low-resolution images as testing inputs and demonstrate improved recognition rates over standard tensorface and eigenface representations .",low-resolution images,multi-modal super-resolution and face recognition,USED-FOR
"We show results from multi-modal super-resolution and face recognition experiments across different imaging modalities , using low-resolution images as testing inputs and demonstrate improved recognition rates over standard tensorface and eigenface representations .",recognition rates,multi-modal super-resolution and face recognition,EVALUATE-FOR
"We show results from multi-modal super-resolution and face recognition experiments across different imaging modalities , using low-resolution images as testing inputs and demonstrate improved recognition rates over standard tensorface and eigenface representations .",recognition rates,tensorface and eigenface representations,EVALUATE-FOR
"In this paper , we describe a phrase-based unigram model for statistical machine translation that uses a much simpler set of model parameters than similar phrase-based models .",phrase-based unigram model,statistical machine translation,USED-FOR
"In this paper , we describe a phrase-based unigram model for statistical machine translation that uses a much simpler set of model parameters than similar phrase-based models .",phrase-based unigram model,phrase-based models,COMPARE
"In this paper , we describe a phrase-based unigram model for statistical machine translation that uses a much simpler set of model parameters than similar phrase-based models .",model parameters,phrase-based unigram model,USED-FOR
"During decoding , we use a block unigram model and a word-based trigram language model .",block unigram model,decoding,USED-FOR
"During decoding , we use a block unigram model and a word-based trigram language model .",word-based trigram language model,decoding,USED-FOR
"During decoding , we use a block unigram model and a word-based trigram language model .",word-based trigram language model,block unigram model,CONJUNCTION
"During training , the blocks are learned from source interval projections using an underlying word alignment .",source interval projections,blocks,USED-FOR
"During training , the blocks are learned from source interval projections using an underlying word alignment .",word alignment,source interval projections,USED-FOR
We show experimental results on block selection criteria based on unigram counts and phrase length .,unigram counts,block selection criteria,USED-FOR
We show experimental results on block selection criteria based on unigram counts and phrase length .,unigram counts,phrase length,CONJUNCTION
We show experimental results on block selection criteria based on unigram counts and phrase length .,phrase length,block selection criteria,USED-FOR
This paper develops a new approach for extremely fast detection in domains where the distribution of positive and negative examples is highly skewed -LRB- e.g. face detection or database retrieval -RRB- .,approach,fast detection,USED-FOR
This paper develops a new approach for extremely fast detection in domains where the distribution of positive and negative examples is highly skewed -LRB- e.g. face detection or database retrieval -RRB- .,face detection,database retrieval,CONJUNCTION
"In such domains a cascade of simple classifiers each trained to achieve high detection rates and modest false positive rates can yield a final detector with many desirable features : including high detection rates , very low false positive rates , and fast performance .",cascade of simple classifiers,detector,USED-FOR
"In such domains a cascade of simple classifiers each trained to achieve high detection rates and modest false positive rates can yield a final detector with many desirable features : including high detection rates , very low false positive rates , and fast performance .",detection rates,classifiers,EVALUATE-FOR
"In such domains a cascade of simple classifiers each trained to achieve high detection rates and modest false positive rates can yield a final detector with many desirable features : including high detection rates , very low false positive rates , and fast performance .",detection rates,modest false positive rates,CONJUNCTION
"In such domains a cascade of simple classifiers each trained to achieve high detection rates and modest false positive rates can yield a final detector with many desirable features : including high detection rates , very low false positive rates , and fast performance .",modest false positive rates,classifiers,EVALUATE-FOR
"In such domains a cascade of simple classifiers each trained to achieve high detection rates and modest false positive rates can yield a final detector with many desirable features : including high detection rates , very low false positive rates , and fast performance .",features,detector,FEATURE-OF
"Achieving extremely high detection rates , rather than low error , is not a task typically addressed by machine learning algorithms .",detection rates,low error,COMPARE
We propose a new variant of AdaBoost as a mechanism for training the simple classifiers used in the cascade .,AdaBoost,classifiers,USED-FOR
We propose a new variant of AdaBoost as a mechanism for training the simple classifiers used in the cascade .,classifiers,cascade,USED-FOR
Experimental results in the domain of face detection show the training algorithm yields significant improvements in performance over conventional AdaBoost .,training algorithm,face detection,USED-FOR
Experimental results in the domain of face detection show the training algorithm yields significant improvements in performance over conventional AdaBoost .,AdaBoost,face detection,USED-FOR
Experimental results in the domain of face detection show the training algorithm yields significant improvements in performance over conventional AdaBoost .,AdaBoost,training algorithm,COMPARE
"The final face detection system can process 15 frames per second , achieves over 90 % detection , and a false positive rate of 1 in a 1,000,000 .",detection,false positive rate,CONJUNCTION
This paper proposes a method for learning joint embed-dings of images and text using a two-branch neural network with multiple layers of linear projections followed by nonlinearities .,method,joint embed-dings of images and text,USED-FOR
This paper proposes a method for learning joint embed-dings of images and text using a two-branch neural network with multiple layers of linear projections followed by nonlinearities .,two-branch neural network,method,USED-FOR
This paper proposes a method for learning joint embed-dings of images and text using a two-branch neural network with multiple layers of linear projections followed by nonlinearities .,multiple layers of linear projections,two-branch neural network,PART-OF
This paper proposes a method for learning joint embed-dings of images and text using a two-branch neural network with multiple layers of linear projections followed by nonlinearities .,multiple layers of linear projections,nonlinearities,CONJUNCTION
This paper proposes a method for learning joint embed-dings of images and text using a two-branch neural network with multiple layers of linear projections followed by nonlinearities .,nonlinearities,two-branch neural network,PART-OF
The network is trained using a large-margin objective that combines cross-view ranking constraints with within-view neighborhood structure preservation constraints inspired by metric learning literature .,large-margin objective,network,USED-FOR
The network is trained using a large-margin objective that combines cross-view ranking constraints with within-view neighborhood structure preservation constraints inspired by metric learning literature .,cross-view ranking constraints,large-margin objective,FEATURE-OF
The network is trained using a large-margin objective that combines cross-view ranking constraints with within-view neighborhood structure preservation constraints inspired by metric learning literature .,cross-view ranking constraints,within-view neighborhood structure preservation constraints,CONJUNCTION
The network is trained using a large-margin objective that combines cross-view ranking constraints with within-view neighborhood structure preservation constraints inspired by metric learning literature .,within-view neighborhood structure preservation constraints,large-margin objective,FEATURE-OF
Extensive experiments show that our approach gains significant improvements in accuracy for image-to-text and text-to-image retrieval .,accuracy,approach,EVALUATE-FOR
Extensive experiments show that our approach gains significant improvements in accuracy for image-to-text and text-to-image retrieval .,image-to-text and text-to-image retrieval,approach,EVALUATE-FOR
Our method achieves new state-of-the-art results on the Flickr30K and MSCOCO image-sentence datasets and shows promise on the new task of phrase lo-calization on the Flickr30K Entities dataset .,Flickr30K and MSCOCO image-sentence datasets,method,EVALUATE-FOR
Our method achieves new state-of-the-art results on the Flickr30K and MSCOCO image-sentence datasets and shows promise on the new task of phrase lo-calization on the Flickr30K Entities dataset .,phrase lo-calization,method,EVALUATE-FOR
Our method achieves new state-of-the-art results on the Flickr30K and MSCOCO image-sentence datasets and shows promise on the new task of phrase lo-calization on the Flickr30K Entities dataset .,Flickr30K Entities dataset,phrase lo-calization,USED-FOR
We investigate that claim by adopting a simple MT-based paraphrasing technique and evaluating QA system performance on paraphrased questions .,MT-based paraphrasing technique,QA system,USED-FOR
We investigate that claim by adopting a simple MT-based paraphrasing technique and evaluating QA system performance on paraphrased questions .,paraphrased questions,QA system,EVALUATE-FOR
"The TAP-XL Automated Analyst 's Assistant is an application designed to help an English - speaking analyst write a topical report , culling information from a large inflow of multilingual , multimedia data .","multilingual , multimedia data",TAP-XL Automated Analyst 's Assistant,USED-FOR
"It gives users the ability to spend their time finding more data relevant to their task , and gives them translingual reach into other languages by leveraging human language technology .",human language technology,It,USED-FOR
This paper discusses the application of Unification Categorial Grammar -LRB- UCG -RRB- to the framework of Isomorphic Grammars for Machine Translation pioneered by Landsbergen .,Unification Categorial Grammar -LRB- UCG -RRB-,Isomorphic Grammars,USED-FOR
This paper discusses the application of Unification Categorial Grammar -LRB- UCG -RRB- to the framework of Isomorphic Grammars for Machine Translation pioneered by Landsbergen .,Isomorphic Grammars,Machine Translation,USED-FOR
"The Isomorphic Grammars approach to MT involves developing the grammars of the Source and Target languages in parallel , in order to ensure that SL and TL expressions which stand in the translation relation have isomorphic derivations .",Isomorphic Grammars approach,MT,USED-FOR
"After introducing this approach to MT system design , and the basics of monolingual UCG , we will show how the two can be integrated , and present an example from an implemented bi-directional English-Spanish fragment .",approach,MT system design,USED-FOR
"After introducing this approach to MT system design , and the basics of monolingual UCG , we will show how the two can be integrated , and present an example from an implemented bi-directional English-Spanish fragment .",approach,monolingual UCG,USED-FOR
"After introducing this approach to MT system design , and the basics of monolingual UCG , we will show how the two can be integrated , and present an example from an implemented bi-directional English-Spanish fragment .",MT system design,monolingual UCG,CONJUNCTION
"After introducing this approach to MT system design , and the basics of monolingual UCG , we will show how the two can be integrated , and present an example from an implemented bi-directional English-Spanish fragment .",MT system design,two,HYPONYM-OF
"After introducing this approach to MT system design , and the basics of monolingual UCG , we will show how the two can be integrated , and present an example from an implemented bi-directional English-Spanish fragment .",monolingual UCG,two,HYPONYM-OF
In the security domain a key problem is identifying rare behaviours of interest .,identifying rare behaviours of interest,security domain,PART-OF
"Training examples for these behaviours may or may not exist , and if they do exist there will be few examples , quite probably one .",Training examples,behaviours,USED-FOR
We present a novel weakly supervised algorithm that can detect behaviours that either have never before been seen or for which there are few examples .,weakly supervised algorithm,behaviours,USED-FOR
"Global context is modelled , allowing the detection of abnormal behaviours that in isolation appear normal .",Global context,detection of abnormal behaviours,USED-FOR
"We have developed a computational model of the process of describing the layout of an apartment or house , a much-studied discourse task first characterized linguistically by Linde -LRB- 1974 -RRB- .",computational model,discourse task,USED-FOR
"The model is embodied in a program , APT , that can reproduce segments of actual tape-recorded descriptions , using organizational and discourse strategies derived through analysis of our corpus .",model,program,PART-OF
"The model is embodied in a program , APT , that can reproduce segments of actual tape-recorded descriptions , using organizational and discourse strategies derived through analysis of our corpus .",organizational and discourse strategies,APT,USED-FOR
This paper proposes a practical approach employing n-gram models and error-correction rules for Thai key prediction and Thai-English language identification .,approach,Thai key prediction,USED-FOR
This paper proposes a practical approach employing n-gram models and error-correction rules for Thai key prediction and Thai-English language identification .,approach,Thai-English language identification,USED-FOR
This paper proposes a practical approach employing n-gram models and error-correction rules for Thai key prediction and Thai-English language identification .,n-gram models,approach,USED-FOR
This paper proposes a practical approach employing n-gram models and error-correction rules for Thai key prediction and Thai-English language identification .,n-gram models,error-correction rules,CONJUNCTION
This paper proposes a practical approach employing n-gram models and error-correction rules for Thai key prediction and Thai-English language identification .,error-correction rules,approach,USED-FOR
This paper proposes a practical approach employing n-gram models and error-correction rules for Thai key prediction and Thai-English language identification .,Thai key prediction,Thai-English language identification,CONJUNCTION
The paper also proposes rule-reduction algorithm applying mutual information to reduce the error-correction rules .,mutual information,rule-reduction algorithm,USED-FOR
The paper also proposes rule-reduction algorithm applying mutual information to reduce the error-correction rules .,mutual information,error-correction rules,USED-FOR
Our algorithm reported more than 99 % accuracy in both language identification and key prediction .,algorithm,language identification,USED-FOR
Our algorithm reported more than 99 % accuracy in both language identification and key prediction .,algorithm,key prediction,USED-FOR
Our algorithm reported more than 99 % accuracy in both language identification and key prediction .,accuracy,algorithm,EVALUATE-FOR
This paper concerns the discourse understanding process in spoken dialogue systems .,discourse understanding process,spoken dialogue systems,USED-FOR
This process enables the system to understand user utterances based on the context of a dialogue .,system,user utterances,USED-FOR
This paper proposes a method for resolving this ambiguity based on statistical information obtained from dialogue corpora .,method,ambiguity,USED-FOR
This paper proposes a method for resolving this ambiguity based on statistical information obtained from dialogue corpora .,statistical information,method,USED-FOR
This paper proposes a method for resolving this ambiguity based on statistical information obtained from dialogue corpora .,dialogue corpora,statistical information,USED-FOR
"Unlike conventional methods that use hand-crafted rules , the proposed method enables easy design of the discourse understanding process .",hand-crafted rules,methods,USED-FOR
Experiment results have shown that a system that exploits the proposed method performs sufficiently and that holding multiple candidates for understanding results is effective .,system,method,USED-FOR
We consider the problem of question-focused sentence retrieval from complex news articles describing multi-event stories published over time .,news articles,question-focused sentence retrieval,USED-FOR
We consider the problem of question-focused sentence retrieval from complex news articles describing multi-event stories published over time .,multi-event stories,news articles,FEATURE-OF
"To address the sentence retrieval problem , we apply a stochastic , graph-based method for comparing the relative importance of the textual units , which was previously used successfully for generic summarization .","stochastic , graph-based method",sentence retrieval problem,USED-FOR
"To address the sentence retrieval problem , we apply a stochastic , graph-based method for comparing the relative importance of the textual units , which was previously used successfully for generic summarization .","stochastic , graph-based method",generic summarization,USED-FOR
"Currently , we present a topic-sensitive version of our method and hypothesize that it can outperform a competitive baseline , which compares the similarity of each sentence to the input question via IDF-weighted word overlap .",baseline,it,COMPARE
"In our experiments , the method achieves a TRDR score that is significantly higher than that of the baseline .",method,baseline,COMPARE
"In our experiments , the method achieves a TRDR score that is significantly higher than that of the baseline .",TRDR score,method,EVALUATE-FOR
"In our experiments , the method achieves a TRDR score that is significantly higher than that of the baseline .",TRDR score,baseline,EVALUATE-FOR
"This paper proposes that sentence analysis should be treated as defeasible reasoning , and presents such a treatment for Japanese sentence analyses using an argumentation system by Konolige , which is a formalization of defeasible reasoning , that includes arguments and defeat rules that capture defeasibility .",defeasible reasoning,sentence analysis,USED-FOR
"This paper proposes that sentence analysis should be treated as defeasible reasoning , and presents such a treatment for Japanese sentence analyses using an argumentation system by Konolige , which is a formalization of defeasible reasoning , that includes arguments and defeat rules that capture defeasibility .",treatment,Japanese sentence analyses,USED-FOR
"This paper proposes that sentence analysis should be treated as defeasible reasoning , and presents such a treatment for Japanese sentence analyses using an argumentation system by Konolige , which is a formalization of defeasible reasoning , that includes arguments and defeat rules that capture defeasibility .",argumentation system,Japanese sentence analyses,USED-FOR
"This paper proposes that sentence analysis should be treated as defeasible reasoning , and presents such a treatment for Japanese sentence analyses using an argumentation system by Konolige , which is a formalization of defeasible reasoning , that includes arguments and defeat rules that capture defeasibility .",arguments,formalization of defeasible reasoning,PART-OF
"This paper proposes that sentence analysis should be treated as defeasible reasoning , and presents such a treatment for Japanese sentence analyses using an argumentation system by Konolige , which is a formalization of defeasible reasoning , that includes arguments and defeat rules that capture defeasibility .",arguments,defeat rules,CONJUNCTION
"This paper proposes that sentence analysis should be treated as defeasible reasoning , and presents such a treatment for Japanese sentence analyses using an argumentation system by Konolige , which is a formalization of defeasible reasoning , that includes arguments and defeat rules that capture defeasibility .",defeat rules,formalization of defeasible reasoning,PART-OF
"This paper proposes that sentence analysis should be treated as defeasible reasoning , and presents such a treatment for Japanese sentence analyses using an argumentation system by Konolige , which is a formalization of defeasible reasoning , that includes arguments and defeat rules that capture defeasibility .",defeasibility,arguments,FEATURE-OF
"This paper proposes that sentence analysis should be treated as defeasible reasoning , and presents such a treatment for Japanese sentence analyses using an argumentation system by Konolige , which is a formalization of defeasible reasoning , that includes arguments and defeat rules that capture defeasibility .",defeasibility,defeat rules,FEATURE-OF
"It gives an overview of methods used for visual speech animation , parameterization of a human face and a tongue , necessary data sources and a synthesis method .",methods,visual speech animation,USED-FOR
A 3D animation model is used for a pseudo-muscular animation schema to create such animation of visual speech which is usable for a lipreading .,3D animation model,pseudo-muscular animation schema,USED-FOR
A 3D animation model is used for a pseudo-muscular animation schema to create such animation of visual speech which is usable for a lipreading .,pseudo-muscular animation schema,animation of visual speech,USED-FOR
A 3D animation model is used for a pseudo-muscular animation schema to create such animation of visual speech which is usable for a lipreading .,animation of visual speech,lipreading,USED-FOR
"Furthermore , a problem of forming articulatory trajectories is formulated to solve labial coarticulation effects .",forming articulatory trajectories,labial coarticulation effects,USED-FOR
It is used for the synthesis method based on a selection of articulatory targets and interpolation technique .,It,synthesis method,USED-FOR
It is used for the synthesis method based on a selection of articulatory targets and interpolation technique .,selection of articulatory targets,It,USED-FOR
It is used for the synthesis method based on a selection of articulatory targets and interpolation technique .,selection of articulatory targets,interpolation technique,CONJUNCTION
It is used for the synthesis method based on a selection of articulatory targets and interpolation technique .,interpolation technique,It,USED-FOR
"However , our experience with TACITUS ; especially in the MUC-3 evaluation , has shown that principled techniques for syntactic and pragmatic analysis can be bolstered with methods for achieving robustness .",techniques,syntactic and pragmatic analysis,USED-FOR
"However , our experience with TACITUS ; especially in the MUC-3 evaluation , has shown that principled techniques for syntactic and pragmatic analysis can be bolstered with methods for achieving robustness .",robustness,methods,EVALUATE-FOR
"We describe three techniques for making syntactic analysis more robust -- an agenda-based scheduling parser , a recovery technique for failed parses , and a new technique called terminal substring parsing .",three techniques,syntactic analysis,USED-FOR
"We describe three techniques for making syntactic analysis more robust -- an agenda-based scheduling parser , a recovery technique for failed parses , and a new technique called terminal substring parsing .",agenda-based scheduling parser,three techniques,HYPONYM-OF
"We describe three techniques for making syntactic analysis more robust -- an agenda-based scheduling parser , a recovery technique for failed parses , and a new technique called terminal substring parsing .",agenda-based scheduling parser,recovery technique,CONJUNCTION
"We describe three techniques for making syntactic analysis more robust -- an agenda-based scheduling parser , a recovery technique for failed parses , and a new technique called terminal substring parsing .",recovery technique,three techniques,HYPONYM-OF
"We describe three techniques for making syntactic analysis more robust -- an agenda-based scheduling parser , a recovery technique for failed parses , and a new technique called terminal substring parsing .",recovery technique,syntactic analysis,USED-FOR
"We describe three techniques for making syntactic analysis more robust -- an agenda-based scheduling parser , a recovery technique for failed parses , and a new technique called terminal substring parsing .",recovery technique,failed parses,USED-FOR
"We describe three techniques for making syntactic analysis more robust -- an agenda-based scheduling parser , a recovery technique for failed parses , and a new technique called terminal substring parsing .",recovery technique,technique,CONJUNCTION
"We describe three techniques for making syntactic analysis more robust -- an agenda-based scheduling parser , a recovery technique for failed parses , and a new technique called terminal substring parsing .",technique,three techniques,HYPONYM-OF
"For pragmatics processing , we describe how the method of abductive inference is inherently robust , in that an interpretation is always possible , so that in the absence of the required world knowledge , performance degrades gracefully .",abductive inference,pragmatics processing,USED-FOR
"This paper proposes a Hidden Markov Model -LRB- HMM -RRB- and an HMM-based chunk tagger , from which a named entity -LRB- NE -RRB- recognition -LRB- NER -RRB- system is built to recognize and classify names , times and numerical quantities .",Hidden Markov Model -LRB- HMM -RRB-,HMM-based chunk tagger,CONJUNCTION
"This paper proposes a Hidden Markov Model -LRB- HMM -RRB- and an HMM-based chunk tagger , from which a named entity -LRB- NE -RRB- recognition -LRB- NER -RRB- system is built to recognize and classify names , times and numerical quantities .",Hidden Markov Model -LRB- HMM -RRB-,named entity -LRB- NE -RRB- recognition -LRB- NER -RRB- system,USED-FOR
"This paper proposes a Hidden Markov Model -LRB- HMM -RRB- and an HMM-based chunk tagger , from which a named entity -LRB- NE -RRB- recognition -LRB- NER -RRB- system is built to recognize and classify names , times and numerical quantities .",HMM-based chunk tagger,named entity -LRB- NE -RRB- recognition -LRB- NER -RRB- system,USED-FOR
"This paper proposes a Hidden Markov Model -LRB- HMM -RRB- and an HMM-based chunk tagger , from which a named entity -LRB- NE -RRB- recognition -LRB- NER -RRB- system is built to recognize and classify names , times and numerical quantities .",named entity -LRB- NE -RRB- recognition -LRB- NER -RRB- system,names,USED-FOR
"This paper proposes a Hidden Markov Model -LRB- HMM -RRB- and an HMM-based chunk tagger , from which a named entity -LRB- NE -RRB- recognition -LRB- NER -RRB- system is built to recognize and classify names , times and numerical quantities .",named entity -LRB- NE -RRB- recognition -LRB- NER -RRB- system,times and numerical quantities,USED-FOR
"This paper proposes a Hidden Markov Model -LRB- HMM -RRB- and an HMM-based chunk tagger , from which a named entity -LRB- NE -RRB- recognition -LRB- NER -RRB- system is built to recognize and classify names , times and numerical quantities .",names,times and numerical quantities,CONJUNCTION
"Through the HMM , our system is able to apply and integrate four types of internal and external evidences : 1 -RRB- simple deterministic internal feature of the words , such as capitalization and digitalization ; 2 -RRB- internal semantic feature of important triggers ; 3 -RRB- internal gazetteer feature ; 4 -RRB- external macro context feature .",capitalization,deterministic internal feature of the words,HYPONYM-OF
"Through the HMM , our system is able to apply and integrate four types of internal and external evidences : 1 -RRB- simple deterministic internal feature of the words , such as capitalization and digitalization ; 2 -RRB- internal semantic feature of important triggers ; 3 -RRB- internal gazetteer feature ; 4 -RRB- external macro context feature .",capitalization,digitalization,CONJUNCTION
"Through the HMM , our system is able to apply and integrate four types of internal and external evidences : 1 -RRB- simple deterministic internal feature of the words , such as capitalization and digitalization ; 2 -RRB- internal semantic feature of important triggers ; 3 -RRB- internal gazetteer feature ; 4 -RRB- external macro context feature .",digitalization,deterministic internal feature of the words,HYPONYM-OF
Evaluation of our system on MUC-6 and MUC-7 English NE tasks achieves F-measures of 96.6 % and 94.1 % respectively .,MUC-6 and MUC-7 English NE tasks,system,EVALUATE-FOR
Evaluation of our system on MUC-6 and MUC-7 English NE tasks achieves F-measures of 96.6 % and 94.1 % respectively .,F-measures,system,EVALUATE-FOR
Two themes have evolved in speech and text image processing work at Xerox PARC that expand and redefine the role of recognition technology in document-oriented applications .,themes,speech and text image processing,PART-OF
Two themes have evolved in speech and text image processing work at Xerox PARC that expand and redefine the role of recognition technology in document-oriented applications .,recognition technology,document-oriented applications,USED-FOR
One is the development of systems that provide functionality similar to that of text processors but operate directly on audio and scanned image data .,systems,text processors,CONJUNCTION
One is the development of systems that provide functionality similar to that of text processors but operate directly on audio and scanned image data .,audio and scanned image data,systems,USED-FOR
