entity1,entity2,relation_type
,,EVALUATE-FOR
,,CONJUNCTION
,,USED-FOR
,,HYPONYM-OF
Methods,spelling correction,USED-FOR
spelling correction,languages,USED-FOR
English,languages,HYPONYM-OF
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,USED-FOR
training method,localized phrase-based prediction model,USED-FOR
localized phrase-based prediction model,statistical machine translation -LRB- SMT -RRB-,USED-FOR
,,USED-FOR
features .,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,HYPONYM-OF
,,USED-FOR
,,USED-FOR
,,COMPARE
,,EVALUATE-FOR
,,EVALUATE-FOR
data structure,phrase-based statistical machine translation,USED-FOR
data structure,retrieval of arbitrarily long phrases,USED-FOR
,,CONJUNCTION
,,PART-OF
,,EVALUATE-FOR
,,EVALUATE-FOR
continuous speech recognition -LRB- CSR -RRB- techniques,Spoken Language Systems -LRB- SLS -RRB-,USED-FOR
Spoken Language Systems -LRB- SLS -RRB-,military and civilian computer-based systems,USED-FOR
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,HYPONYM-OF
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,HYPONYM-OF
,,USED-FOR
,,USED-FOR
,,HYPONYM-OF
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,EVALUATE-FOR
word vectors,similarity between words,USED-FOR
vector space model,word vectors,USED-FOR
two,"of similarity ,",USED-FOR
similarity and associative similarity .,,USED-FOR
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
,,USED-FOR
,,USED-FOR
Arabic-English,maximum entropy word alignment algorithm,USED-FOR
supervised training data,maximum entropy word alignment algorithm,USED-FOR
superior performance,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,COMPARE
Cooperative Model,natural language understanding,USED-FOR
natural language understanding,dialogue system,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,EVALUATE-FOR
,,USED-FOR
,,CONJUNCTION
,,CONJUNCTION
,,COMPARE
,,EVALUATE-FOR
,,EVALUATE-FOR
,,EVALUATE-FOR
,,EVALUATE-FOR
,,CONJUNCTION
,,USED-FOR
,,USED-FOR
evaluation method,paraphrases,EVALUATE-FOR
latent variable model,evaluation method,USED-FOR
,,EVALUATE-FOR
,,USED-FOR
methods,hardware,CONJUNCTION
methods,integrated Spoken Language System,USED-FOR
hardware,integrated Spoken Language System,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,PART-OF
,,COMPARE
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,PART-OF
,,PART-OF
,,CONJUNCTION
,,PART-OF
image,estimating location information,USED-FOR
automated representation learning,estimating location information,USED-FOR
of parallel,using,USED-FOR
,of parallel,USED-FOR
,,USED-FOR
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
,,USED-FOR
,,EVALUATE-FOR
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
weak duration constraints,HMMs,FEATURE-OF
produce word,the,USED-FOR
durations,,USED-FOR
,,FEATURE-OF
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,USED-FOR
,,USED-FOR
Tree Adjoining Grammars,extended domain of locality -LRB- EDOL -RRB-,FEATURE-OF
,,USED-FOR
,,HYPONYM-OF
,,COMPARE
,,HYPONYM-OF
,,USED-FOR
Identity uncertainty,real-world data analysis,HYPONYM-OF
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,PART-OF
,,CONJUNCTION
,,PART-OF
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,EVALUATE-FOR
,,COMPARE
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,HYPONYM-OF
supervised learning,human biases in summarization,USED-FOR
unsupervised learning,supervised learning,CONJUNCTION
unsupervised learning,human biases in summarization,USED-FOR
,,FEATURE-OF
,,USED-FOR
,,CONJUNCTION
parallel English and Chinese court judgments,"small , domain-specific corpus",PART-OF
,,USED-FOR
,,PART-OF
,,COMPARE
,,COMPARE
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
good match between,with,USED-FOR
,,FEATURE-OF
algorithm,3D geometric structure of outdoor video scenes,USED-FOR
based on predictions,are trained,USED-FOR
.,are trained,PART-OF
,.,USED-FOR
,,USED-FOR
,,EVALUATE-FOR
,,FEATURE-OF
,,PART-OF
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,EVALUATE-FOR
system,marine weather forecasts,USED-FOR
formatted weather data,system,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,HYPONYM-OF
,,USED-FOR
,,FEATURE-OF
,,PART-OF
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
,,USED-FOR
,,FEATURE-OF
,,CONJUNCTION
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,USED-FOR
hierarchy of phrasal patterns,dictionary word sense definitions,USED-FOR
,,PART-OF
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,FEATURE-OF
,,HYPONYM-OF
,,HYPONYM-OF
approach,word segmentation system,USED-FOR
approach,word breaking,USED-FOR
approach,OOV identification,USED-FOR
word breaking,OOV identification,CONJUNCTION
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
,,CONJUNCTION
,,CONJUNCTION
method,interactively visualizing and directing the process of translating,USED-FOR
to,weaknesses,USED-FOR
weaknesses,and to compare it to other MT,USED-FOR
,,COMPARE
,,USED-FOR
method,sense resolution,USED-FOR
WordNet,method,USED-FOR
WordNet,on-line lexical database,HYPONYM-OF
semantic relations,WordNet,PART-OF
synonymy,semantic relations,HYPONYM-OF
synonymy,antonymy,CONJUNCTION
antonymy,semantic relations,HYPONYM-OF
antonymy,hyponymy,CONJUNCTION
hyponymy,semantic relations,HYPONYM-OF
hyponymy,meronymy,CONJUNCTION
meronymy,semantic relations,HYPONYM-OF
meronymy,causal and troponymic entailment,CONJUNCTION
causal and troponymic entailment,semantic relations,HYPONYM-OF
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,CONJUNCTION
interlingual approach,MT,USED-FOR
,,USED-FOR
,,USED-FOR
,,PART-OF
,,PART-OF
,,PART-OF
,,CONJUNCTION
,,PART-OF
,,CONJUNCTION
,,PART-OF
,,CONJUNCTION
,,PART-OF
,,PART-OF
method,discourse segmentation,USED-FOR
abduction of temporal relations,discourse segmentation,USED-FOR
,,USED-FOR
shallow techniques,deep processing,USED-FOR
linguistic PoS tagger and chunker,broad coverage unification based grammar of Spanish,PART-OF
broad coverage unification based grammar of Spanish,NLP system,USED-FOR
,,USED-FOR
,,EVALUATE-FOR
,,EVALUATE-FOR
,,CONJUNCTION
,,EVALUATE-FOR
Joint image filters,suppressing noise,USED-FOR
Joint image filters,enhancing spatial resolution,USED-FOR
guidance image,Joint image filters,USED-FOR
suppressing noise,enhancing spatial resolution,CONJUNCTION
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,COMPARE
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,HYPONYM-OF
,,HYPONYM-OF
,,COMPARE
display of graphical information,cognitively well-motivated interfaces,USED-FOR
,,USED-FOR
manually sense-tagged data,supervised learning,USED-FOR
SENSEVAL-2,task .,USED-FOR
SENSEVAL-2,,USED-FOR
,task .,USED-FOR
,,PART-OF
,,USED-FOR
,,FEATURE-OF
,,FEATURE-OF
quantification over events,temporal anaphora,PART-OF
Discourse Representation Theory,temporal anaphora,USED-FOR
,,PART-OF
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
correlation of dependency relation paths,answer extraction,USED-FOR
corresponding relations,,USED-FOR
,,PART-OF
,,PART-OF
,,COMPARE
,,EVALUATE-FOR
,,EVALUATE-FOR
,,USED-FOR
,,EVALUATE-FOR
,,EVALUATE-FOR
,,HYPONYM-OF
,,CONJUNCTION
,,EVALUATE-FOR
,,USED-FOR
autonomous pipeline,personalized parametric model -LRB- pose-driven avatar -RRB-,USED-FOR
single depth sensor,autonomous pipeline,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
algorithm,on-line interference effects,USED-FOR
Global Navigation Satellite System -LRB- GNSS -RRB-,Inertial Navigation System -LRB- INS -RRB-,CONJUNCTION
,,USED-FOR
,,USED-FOR
,,FEATURE-OF
,,USED-FOR
,,USED-FOR
,,EVALUATE-FOR
unified variational formulation,joint motion estimation and segmentation,USED-FOR
explicit occlusion handling,unified variational formulation,USED-FOR
,,USED-FOR
,,PART-OF
,,USED-FOR
,,USED-FOR
approaches,monocular nonrigid 3D reconstruction,USED-FOR
Template-based methods,approaches,HYPONYM-OF
Template-based methods,Non-rigid Structure from Motion techniques,CONJUNCTION
Non-rigid Structure from Motion techniques,approaches,HYPONYM-OF
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,COMPARE
,,EVALUATE-FOR
,,EVALUATE-FOR
image classification,computer vision applications,HYPONYM-OF
image classification,video indexing,CONJUNCTION
video indexing,computer vision applications,HYPONYM-OF
multi-label classification problems,computer vision applications,USED-FOR
,,FEATURE-OF
,,USED-FOR
,,PART-OF
,,HYPONYM-OF
,,USED-FOR
,,EVALUATE-FOR
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
convex optimization problem,segmenting sequential data,USED-FOR
segmenting sequential data,outliers,USED-FOR
for,two,USED-FOR
,,FEATURE-OF
,,EVALUATE-FOR
,,EVALUATE-FOR
,,FEATURE-OF
,,COMPARE
Halliday 's systemic networks,feature-based partial descriptions,USED-FOR
which can,the,USED-FOR
Yoopick,combinatorial sports prediction market,HYPONYM-OF
Yoopick,fine-grained probabilistic estimation of outcomes,USED-FOR
flexible betting language,Yoopick,USED-FOR
discriminative patches,unsupervised mid-level visual representation,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,HYPONYM-OF
,,EVALUATE-FOR
algorithm,translation lexicon acquisition -LRB- SABLE -RRB-,USED-FOR
algorithm,general translation lexicons,USED-FOR
algorithm,domain-specific translation lexicons,USED-FOR
computational model,word segmentation,USED-FOR
computational model,realistic acquisition,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
model-based policy search approach,reinforcement learning -LRB- RL -RRB-,USED-FOR
Markov decision process,policies,USED-FOR
,.,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,USED-FOR
computational lexicon,natural language system,USED-FOR
,,HYPONYM-OF
,,USED-FOR
sentence scoping,tasks,PART-OF
syntactic structure,speech acts,USED-FOR
,,HYPONYM-OF
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,COMPARE
maximum a posteriori estimation,continuous density hidden Markov models -LRB- CDHMM -RRB-,USED-FOR
HMM with,and reestimation formulas,HYPONYM-OF
observation densities .,and reestimation formulas,HYPONYM-OF
observation densities .,HMM with,CONJUNCTION
,,USED-FOR
,,USED-FOR
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
,,EVALUATE-FOR
it,word-based system,COMPARE
,,FEATURE-OF
,,CONJUNCTION
,,FEATURE-OF
,,USED-FOR
method,utterance classification,USED-FOR
to,transcription .,USED-FOR
can be achieved using,to,PART-OF
recognition,to,PART-OF
recognition,can be achieved using,CONJUNCTION
,to,USED-FOR
,,USED-FOR
,,PART-OF
,,USED-FOR
,,USED-FOR
,,EVALUATE-FOR
,,EVALUATE-FOR
Interval Algebra -LRB- IA -RRB-,Region Connection Calculus -LRB- RCC -RRB-,CONJUNCTION
Interval Algebra -LRB- IA -RRB-,Artificial Intelligence approaches,HYPONYM-OF
Region Connection Calculus -LRB- RCC -RRB-,Artificial Intelligence approaches,HYPONYM-OF
RCC-8,Region Connection Calculus -LRB- RCC -RRB-,HYPONYM-OF
Artificial Intelligence approaches,representing and reasoning about qualitative temporal and topological relations,USED-FOR
,,USED-FOR
,,USED-FOR
,,PART-OF
,,CONJUNCTION
,,PART-OF
,,HYPONYM-OF
,,EVALUATE-FOR
morphological component,derived words,USED-FOR
,a,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,FEATURE-OF
,,USED-FOR
,,EVALUATE-FOR
lyric,usually,CONJUNCTION
lyric,,USED-FOR
usually,,USED-FOR
,,USED-FOR
,,COMPARE
,,EVALUATE-FOR
,,EVALUATE-FOR
algorithm,redundancy elimination problem,USED-FOR
underspecified semantic representation -LRB- USR -RRB-,scope ambiguity,USED-FOR
equivalent readings,USR,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
context-free phrase-structure grammar,grammatical formalisms,USED-FOR
LFG,grammatical formalisms,HYPONYM-OF
LFG,PATR-II,CONJUNCTION
PATR-II,grammatical formalisms,HYPONYM-OF
,,FEATURE-OF
,,PART-OF
,,USED-FOR
,,HYPONYM-OF
,,COMPARE
,,EVALUATE-FOR
small-sized bilingual corpus,EBMT,USED-FOR
out-of-domain bilingual corpus,EBMT,USED-FOR
language model,EBMT,USED-FOR
in-domain monolingual corpus,language model,USED-FOR
,,USED-FOR
,,EVALUATE-FOR
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
Diagrams,complex concepts,USED-FOR
Diagrams,relationships,USED-FOR
Diagrams,events,USED-FOR
complex concepts,relationships,CONJUNCTION
relationships,events,CONJUNCTION
,,PART-OF
,,COMPARE
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,FEATURE-OF
,,USED-FOR
,,USED-FOR
do this well,,USED-FOR
,,USED-FOR
,,USED-FOR
,,FEATURE-OF
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
,,USED-FOR
,,USED-FOR
,,EVALUATE-FOR
,,FEATURE-OF
,,COMPARE
,,USED-FOR
Automatic evaluation metrics,Machine Translation -LRB- MT -RRB- systems,EVALUATE-FOR
BLEU,Automatic evaluation metrics,HYPONYM-OF
BLEU,NIST,CONJUNCTION
NIST,Automatic evaluation metrics,HYPONYM-OF
,,USED-FOR
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,USED-FOR
,,EVALUATE-FOR
,,EVALUATE-FOR
,,COMPARE
left corner parsing algorithm,context-free grammars,USED-FOR
used,,USED-FOR
,,USED-FOR
direct waveform modification,statistical singing voice conversion -LRB- SVC -RRB- technique,USED-FOR
spectrum differential,direct waveform modification,USED-FOR
spectrum differential,voice timbre,USED-FOR
vocoder,converted singing voice waveforms,USED-FOR
,,USED-FOR
,,EVALUATE-FOR
,,EVALUATE-FOR
,,COMPARE
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,COMPARE
,,EVALUATE-FOR
,,EVALUATE-FOR
,,EVALUATE-FOR
,,USED-FOR
NIST Speaker Recognition Evaluations -LRB- SREs -RRB-,i-vector challenge,USED-FOR
,,USED-FOR
,,USED-FOR
,,COMPARE
,,COMPARE
,,COMPARE
formalism,machine translation,USED-FOR
,,PART-OF
,,USED-FOR
,,USED-FOR
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
of,images,CONJUNCTION
,,FEATURE-OF
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,CONJUNCTION
,,EVALUATE-FOR
,,EVALUATE-FOR
,,USED-FOR
method,blind estimation of reverberation times,USED-FOR
reverberant enclosures,blind estimation of reverberation times,FEATURE-OF
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,FEATURE-OF
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,PART-OF
,,FEATURE-OF
,,EVALUATE-FOR
,,EVALUATE-FOR
,,FEATURE-OF
,,COMPARE
linguistic domain,,USED-FOR
,,COMPARE
,,USED-FOR
,,USED-FOR
,,HYPONYM-OF
,,USED-FOR
,,PART-OF
,,PART-OF
,,USED-FOR
ensemble learning approach,German pronouns,USED-FOR
,,COMPARE
,,USED-FOR
,,USED-FOR
,,PART-OF
,,USED-FOR
,,USED-FOR
,,EVALUATE-FOR
,,COMPARE
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
statistical parser,parsing written and spoken language,USED-FOR
statistical parser,generating sub-categorization cues,USED-FOR
parsing written and spoken language,generating sub-categorization cues,CONJUNCTION
written and spoken language,generating sub-categorization cues,USED-FOR
,,USED-FOR
,,EVALUATE-FOR
,,USED-FOR
,,EVALUATE-FOR
,,PART-OF
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,COMPARE
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,PART-OF
,,USED-FOR
alignment adaptation approach,domain-specific -LRB- in-domain -RRB- word alignment,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,COMPARE
,,EVALUATE-FOR
,,CONJUNCTION
,,EVALUATE-FOR
,,EVALUATE-FOR
,,EVALUATE-FOR
accuracy,part of speech -LRB- pos -RRB- tagging,EVALUATE-FOR
newspaper text,part of speech -LRB- pos -RRB- tagging,EVALUATE-FOR
,,USED-FOR
,,USED-FOR
,,HYPONYM-OF
,,HYPONYM-OF
,,EVALUATE-FOR
,,USED-FOR
,,USED-FOR
,,FEATURE-OF
,,USED-FOR
,,FEATURE-OF
,,USED-FOR
framework,segmentation of complex scenes,USED-FOR
physical hypotheses,framework,USED-FOR
physical hypotheses,simple image regions,USED-FOR
surfaces,color,USED-FOR
color,,USED-FOR
,,COMPARE
,,USED-FOR
,,FEATURE-OF
,,COMPARE
SmartKom,multimodal dialog system,HYPONYM-OF
speech,multimodal dialog system,USED-FOR
speech,gesture,CONJUNCTION
gesture,multimodal dialog system,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,USED-FOR
,,FEATURE-OF
,,USED-FOR
,,USED-FOR
single-image highlight removal method,image in-painting,USED-FOR
illumination-based constraints,image in-painting,PART-OF
,,USED-FOR
,,CONJUNCTION
,,CONJUNCTION
,,USED-FOR
,,USED-FOR
,,USED-FOR
method,"spatially localized , parts-based subspace representation of visual patterns",USED-FOR
,,USED-FOR
,,PART-OF
,,USED-FOR
,,COMPARE
,,USED-FOR
,,USED-FOR
,,EVALUATE-FOR
,,CONJUNCTION
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
machine learning techniques,comma checker,USED-FOR
comma checker,grammar checker,PART-OF
grammar checker,Basque,USED-FOR
,,EVALUATE-FOR
,,EVALUATE-FOR
,,USED-FOR
,,EVALUATE-FOR
,,EVALUATE-FOR
language corpus annotation scenario,discourse relations,USED-FOR
Czech,discourse relations,FEATURE-OF
,Discourse Treebank 2 .,USED-FOR
,,CONJUNCTION
,Discourse Treebank 2 .,USED-FOR
,,PART-OF
,,USED-FOR
,,USED-FOR
,,COMPARE
,,EVALUATE-FOR
,,EVALUATE-FOR
Regression-based techniques,people counting in crowded scenes,USED-FOR
,,USED-FOR
,,USED-FOR
,,COMPARE
,,USED-FOR
,,USED-FOR
,,USED-FOR
Representing images with layers,applications,USED-FOR
video compression,applications,HYPONYM-OF
video compression,motion analysis,CONJUNCTION
motion analysis,applications,HYPONYM-OF
motion analysis,3D scene analysis,CONJUNCTION
3D scene analysis,applications,HYPONYM-OF
form,linear,USED-FOR
linear,.,PART-OF
,,PART-OF
,,PART-OF
,,USED-FOR
,,USED-FOR
,,USED-FOR
non-experimental data,construction of causal graphs,USED-FOR
probability distributions,graph,FEATURE-OF
,,HYPONYM-OF
,,HYPONYM-OF
,,USED-FOR
,,COMPARE
,,CONJUNCTION
,,FEATURE-OF
,,USED-FOR
,,FEATURE-OF
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,USED-FOR
,,PART-OF
social media,animated GIFs,FEATURE-OF
,120K natural language,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,CONJUNCTION
,,PART-OF
,,PART-OF
,,EVALUATE-FOR
,,COMPARE
,,USED-FOR
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
,,USED-FOR
Systemic grammar,AI text generation,USED-FOR
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
solution,automatic and unsupervised word sense induction -LRB- WSI -RRB-,USED-FOR
,,HYPONYM-OF
,,USED-FOR
,,COMPARE
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,EVALUATE-FOR
,,USED-FOR
natural language system,ungrammatical input,USED-FOR
it,computer aided second language learning,USED-FOR
of,of,USED-FOR
frequency components,measurable signals,USED-FOR
frequency components,rotational speed of the engine,FEATURE-OF
vibrations,measurable signals,HYPONYM-OF
vibrations,electrical system voltage level,CONJUNCTION
electrical system voltage level,measurable signals,HYPONYM-OF
electrical system voltage level,ambient sound,CONJUNCTION
ambient sound,measurable signals,HYPONYM-OF
,,USED-FOR
,,CONJUNCTION
,,FEATURE-OF
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,EVALUATE-FOR
bit rates,LPC based speech coders,FEATURE-OF
buzzy or metallic artefacts,synthetic speech,FEATURE-OF
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,USED-FOR
,,FEATURE-OF
instantaneous linear mixtures,blind source separation,USED-FOR
,,USED-FOR
,,EVALUATE-FOR
,,HYPONYM-OF
,,EVALUATE-FOR
,,CONJUNCTION
,,EVALUATE-FOR
,,CONJUNCTION
,,EVALUATE-FOR
,,EVALUATE-FOR
Deep Neural Network -LRB- DNN -RRB- stacked bottleneck features,multilingual feature-level data sharing,USED-FOR
,,USED-FOR
,,COMPARE
,,USED-FOR
bidirectional grammar generation system,dialogue translation system,USED-FOR
feature structure-directed generation,bidirectional grammar generation system,HYPONYM-OF
feature structure-directed generation,dialogue translation system,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,FEATURE-OF
Automatic image annotation,semantic image retrieval,USED-FOR
text descriptions,semantic image retrieval,USED-FOR
,.,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,PART-OF
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,COMPARE
,,USED-FOR
,,EVALUATE-FOR
,,USED-FOR
,,FEATURE-OF
,,FEATURE-OF
,,HYPONYM-OF
,,COMPARE
object category detection datasets,per-object 3D reconstructions,USED-FOR
ground truth figure-ground segmentations,per-object 3D reconstructions,USED-FOR
ground truth figure-ground segmentations,keypoint annotations,CONJUNCTION
keypoint annotations,per-object 3D reconstructions,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,HYPONYM-OF
Probabilistic models,modeling and recognition of human motion,USED-FOR
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
,,USED-FOR
,,USED-FOR
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,HYPONYM-OF
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
,,FEATURE-OF
,,CONJUNCTION
,,CONJUNCTION
Factor analysis,principal components analysis,CONJUNCTION
Factor analysis,linear relationships between observed variables,USED-FOR
principal components analysis,linear relationships between observed variables,USED-FOR
,,USED-FOR
,,HYPONYM-OF
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,HYPONYM-OF
,,COMPARE
,,CONJUNCTION
domain independent strategy,multimedia articulation of answers,USED-FOR
multimedia articulation of answers,natural language interface,USED-FOR
natural language interface,database query applications,USED-FOR
,,PART-OF
,,CONJUNCTION
,,FEATURE-OF
,,FEATURE-OF
LOGON MT demonstrator,general-purpose NLP components,USED-FOR
general-purpose NLP components,machine translation pipeline,PART-OF
,,PART-OF
,,CONJUNCTION
,,PART-OF
give,Hilbert,CONJUNCTION
give,for this language .,FEATURE-OF
Hilbert,for this language .,FEATURE-OF
,,USED-FOR
,,USED-FOR
Image matching,Computer Vision,HYPONYM-OF
array,in a,USED-FOR
,,FEATURE-OF
,,CONJUNCTION
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,COMPARE
,,COMPARE
,,EVALUATE-FOR
,,EVALUATE-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,HYPONYM-OF
,,USED-FOR
paraphrasing,interpretation and generation of natural language,USED-FOR
systems,paraphrases,USED-FOR
manual or semi-automatic methods,systems,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
bit-vector-based CKY-style parser,context-free parsing,USED-FOR
of,large treebank grammars,USED-FOR
large treebank grammars,,USED-FOR
,,USED-FOR
partially-blurred-image classification and analysis framework,automatically detecting images,USED-FOR
blurred regions,images,PART-OF
blur kernel estimation,image deblurring,CONJUNCTION
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,EVALUATE-FOR
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
,,USED-FOR
and,-LRB- Roget 's,HYPONYM-OF
and,,CONJUNCTION
Encyclopedia -RRB-,and,EVALUATE-FOR
,-LRB- Roget 's,HYPONYM-OF
,,USED-FOR
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
,,EVALUATE-FOR
embedding methods,segmenting feature points of piece-wise planar structures,USED-FOR
,bilinear,FEATURE-OF
,,FEATURE-OF
,,CONJUNCTION
,,FEATURE-OF
,,USED-FOR
,,FEATURE-OF
Background maintenance,video surveillance systems,PART-OF
filtering to,probabilistic predictions,USED-FOR
expected background,filtering to,PART-OF
expected background,the frame-level,CONJUNCTION
the region-level,expected background,USED-FOR
the region-level,in homogeneous regions of foreground objects,USED-FOR
the frame-level,filtering to,PART-OF
the frame-level,"sudden , global changes in",USED-FOR
the frame-level,swaps in,CONJUNCTION
swaps in,filtering to,PART-OF
,,COMPARE
,,COMPARE
,,USED-FOR
out-of-domain acoustic training data,speech recognizer,USED-FOR
,,USED-FOR
,,EVALUATE-FOR
