entity1,entity2,relation_type
neural networks,heuristic approaches,USED-FOR
neural networks,local search,CONJUNCTION
local search,heuristic approaches,USED-FOR
Ant-Q,asymmetric TSP,USED-FOR
geometric framework,linear or nonlinear discriminant subspace learning and classification,USED-FOR
semi-Riemannian manifold,structures of classes,USED-FOR
submanifold,ambient semi-Riemannian space,PART-OF
local metrics of the semi-Riemannian space,class structures,USED-FOR
smoothing of discrete functions,Semi-Riemannian metrics,USED-FOR
smoothing of discrete functions,nullity of the semi-Riemannian space,CONJUNCTION
nullity of the semi-Riemannian space,Semi-Riemannian metrics,USED-FOR
feature space,class structures,FEATURE-OF
semi-Riemannian space,quadratic quantities of metric tensors,FEATURE-OF
framework,algorithm,USED-FOR
algorithm,subspace-based classification,USED-FOR
SRDA,algorithms,COMPARE
face recognition -LRB- singular case,SRDA,EVALUATE-FOR
face recognition -LRB- singular case,handwritten capital letter classification -LRB- nonsingular case -RRB-,CONJUNCTION
face recognition -LRB- singular case,algorithms,EVALUATE-FOR
handwritten capital letter classification -LRB- nonsingular case -RRB-,SRDA,EVALUATE-FOR
handwritten capital letter classification -LRB- nonsingular case -RRB-,algorithms,EVALUATE-FOR
SRDA,recognition,USED-FOR
SRDA,classification,USED-FOR
recognition,classification,CONJUNCTION
semi-Riemannian geometry,pattern recognition,USED-FOR
semi-Riemannian geometry,machine learning,USED-FOR
pattern recognition,machine learning,CONJUNCTION
deterministic parser,deterministic parsers,COMPARE
symbolic and connectionist components,it,PART-OF
patterns,connectionist component,USED-FOR
rules of a deterministic grammar,patterns,USED-FOR
hybrid architecture,parser,USED-FOR
parser,deterministic parser,COMPARE
training techniques,decision-making,USED-FOR
connectionist component,decision-making,USED-FOR
connectionist component,parsing process,PART-OF
connectionist -LRB- neural -RRB- network,expected -LRB- grammatical -RRB- sentences,USED-FOR
connectionist -LRB- neural -RRB- network,-LRB- ungrammatical or lexically ambiguous -RRB- sentences,USED-FOR
linguistic rules,connectionist -LRB- neural -RRB- network,USED-FOR
expected -LRB- grammatical -RRB- sentences,-LRB- ungrammatical or lexically ambiguous -RRB- sentences,CONJUNCTION
semantic domain models,natural language interpretation,USED-FOR
semantic domain models,fail-soft recovery heuristics,CONJUNCTION
fail-soft recovery heuristics,natural language interpretation,USED-FOR
fail-soft recovery heuristics,control structures,CONJUNCTION
control structures,natural language interpretation,USED-FOR
single-strategy parsers,multi-strategy approach,COMPARE
task-specific domain knowledge,general linguistic knowledge,CONJUNCTION
parsing strategies,parsing algorithm,PART-OF
case-frame instantiation,parsing strategies,HYPONYM-OF
parsing strategies,conjunctions,USED-FOR
parsing strategies,fragmentary input,USED-FOR
parsing strategies,ungrammatical structures,USED-FOR
parsing strategies,"exotic , grammatically correct input",USED-FOR
conjunctions,fragmentary input,CONJUNCTION
fragmentary input,ungrammatical structures,CONJUNCTION
ungrammatical structures,"exotic , grammatically correct input",CONJUNCTION
specific heuristics,ungrammatical input,USED-FOR
specific heuristics,multi-strategy framework,PART-OF
Stacked Auto-Encoders -LRB- SAE -RRB-,learning imbalanced datasets,USED-FOR
Neural Network classifier,Automatic Speech Recognition -LRB- ASR -RRB- system,USED-FOR
SAE structure,Neural Network classifier,USED-FOR
Error detection,automatic transcription,USED-FOR
classifiers,automatically detecting ASR errors,USED-FOR
one,classifiers,HYPONYM-OF
stacked auto-encoder architecture,one,USED-FOR
English corpus,automatic transcriptions,FEATURE-OF
TED talks,English corpus,USED-FOR
receiving operating curve,classifier,EVALUATE-FOR
receiving operating curve,measure,CONJUNCTION
measure,classifier,EVALUATE-FOR
classifier,ASR errors,USED-FOR
classifier,classification methods,COMPARE
SAE,classifier,USED-FOR
classification methods,ASR errors,USED-FOR
statistical machine learning algorithm,smallest meaning-bearing units of language,USED-FOR
morphemes,smallest meaning-bearing units of language,HYPONYM-OF
these,tasks,USED-FOR
speech and text understanding,tasks,HYPONYM-OF
speech and text understanding,machine translation,CONJUNCTION
machine translation,tasks,HYPONYM-OF
machine translation,information retrieval,CONJUNCTION
information retrieval,tasks,HYPONYM-OF
information retrieval,statistical language modeling,CONJUNCTION
statistical language modeling,tasks,HYPONYM-OF
segmen-tation algorithms,large vocabulary speech recognition,USED-FOR
statistical n-gram language models,segmen-tation algorithms,EVALUATE-FOR
Finnish,ag-glutinative and morphologically rich languages,HYPONYM-OF
Finnish,Turk-ish,CONJUNCTION
Turk-ish,ag-glutinative and morphologically rich languages,HYPONYM-OF
spoken language corpus,ATIS -LRB- Air Travel Information System -RRB- domain,USED-FOR
spontaneous speech,"multi-site common evaluation of speech , natural language and spoken language",EVALUATE-FOR
Hierarchical Directed Acyclic Graph -LRB- HDAG -RRB- Kernel,structured natural language data,USED-FOR
method,question classification and sentence alignment tasks,USED-FOR
similarity measure,method,EVALUATE-FOR
similarity measure,kernel function,CONJUNCTION
kernel function,method,EVALUATE-FOR
HDAG Kernel,kernel functions,COMPARE
HDAG Kernel,baseline methods,COMPARE
kernel functions,baseline methods,CONJUNCTION
generative history-based latent variable model,CoNLL 2008 shared task,USED-FOR
generative history-based latent variable model,synchronous dependency parser,USED-FOR
synchronous dependency parser,syntactic and semantic dependencies,USED-FOR
macro-average F1 performance,model,EVALUATE-FOR
macro-average F1 performance,task,EVALUATE-FOR
syntactic dependencies LAS,task,EVALUATE-FOR
syntactic dependencies LAS,semantic dependencies F1,CONJUNCTION
semantic dependencies F1,task,EVALUATE-FOR
macro-average F1,model,EVALUATE-FOR
macro-average F1,syntactic dependencies LAS,CONJUNCTION
syntactic dependencies LAS,model,EVALUATE-FOR
syntactic dependencies LAS,semantic dependencies F1,CONJUNCTION
semantic dependencies F1,model,EVALUATE-FOR
approach,discourse structure,USED-FOR
discourse connectives,approach,USED-FOR
PDTB,extraction of useful syntactic and semantic features,USED-FOR
PDTB,practical algorithms,EVALUATE-FOR
Penn TreeBank,PDTB,USED-FOR
Penn TreeBank,Propbank,CONJUNCTION
Propbank,PDTB,USED-FOR
level of agreement,inter-annotator agreement,FEATURE-OF
level of agreement,inter-annotator variation,CONJUNCTION
inter-annotator variation,inter-annotator agreement,FEATURE-OF
N-gram models,statistical language modeling,USED-FOR
artificial neural networks,language model,USED-FOR
neural network,language model,USED-FOR
neural network,statistical methods,COMPARE
intensity of the observed facial displays,temporal evolution,CONJUNCTION
ordinal man-ifold,intrinsic topology of multidimensional continuous facial,USED-FOR
topology,Hidden Conditional Ordinal Random Field -LRB- H-CORF -RRB- framework,PART-OF
Hidden Conditional Ordinal Random Field -LRB- H-CORF -RRB- framework,dynamic ordinal regression,USED-FOR
model,simultaneous dynamic recognition,USED-FOR
model,intensity estimation of facial expressions,USED-FOR
simultaneous dynamic recognition,intensity estimation of facial expressions,CONJUNCTION
spontaneous facial affect data,the proposed method,EVALUATE-FOR
document classification,applications,HYPONYM-OF
data,memory capacity,COMPARE
block minimization framework,data,USED-FOR
data,memory size,COMPARE
framework,primal and dual SVMs,USED-FOR
accuracy,word sense disambiguation -LRB- WSD -RRB- systems,EVALUATE-FOR
method,sense priors of words,USED-FOR
new domain,sense priors of words,FEATURE-OF
well calibrated probabilities,estimations,USED-FOR
well calibrated probabilities,sense priors,USED-FOR
encyclopedias,It,USED-FOR
encyclopedias,dictionaries,CONJUNCTION
dictionaries,It,USED-FOR
public databases of proper names and toponyms,It,USED-FOR
collocations,It,USED-FOR
lists of botanical and zoological terms,It,USED-FOR
lists of botanical and zoological terms,collocations,CONJUNCTION
Czech National Corpus,MWEs database,USED-FOR
technique,Word Sketch Engine,USED-FOR
statistical parameters,Word Sketch Engine,FEATURE-OF
database,tagging,USED-FOR
database,lemmatization,USED-FOR
tagging,lemmatization,CONJUNCTION
MWEs,tagging,USED-FOR
MWEs,lemmatization,USED-FOR
tagging,lemmatization,CONJUNCTION
semantically annotated corpus,large-scale acquisition of word-semantic information,USED-FOR
construction of domain-independent lexica,large-scale acquisition of word-semantic information,HYPONYM-OF
semantic roles,frame semantics paradigm,PART-OF
vagueness,ambiguity,CONJUNCTION
vagueness,semantic annotation,FEATURE-OF
ambiguity,semantic annotation,FEATURE-OF
Statistical machine translation -LRB- SMT -RRB-,natural language processing,HYPONYM-OF
SMT,rule-based translation systems,COMPARE
translation systems,new language pairs,USED-FOR
translation systems,new domains,USED-FOR
new language pairs,new domains,CONJUNCTION
STTK,statistical machine translation tool kit,HYPONYM-OF
STTK,translation system,USED-FOR
STTK,SMT system,USED-FOR
It,rule-based and example based machine translation modules,CONJUNCTION
It,multi engine machine translation system,USED-FOR
rule-based and example based machine translation modules,multi engine machine translation system,USED-FOR
unsupervised learning approach,non-English -LRB- Arabic -RRB- stemmer,USED-FOR
statistical machine translation,stemming model,USED-FOR
English stemmer,it,USED-FOR
parallel corpus,it,USED-FOR
"Monolingual , unannotated text",stemmer,USED-FOR
resource-frugal approach,Arabic stemmer,COMPARE
agreement,resource-frugal approach,EVALUATE-FOR
agreement,Arabic stemmer,EVALUATE-FOR
rules,Arabic stemmer,USED-FOR
rules,affix lists,CONJUNCTION
affix lists,Arabic stemmer,USED-FOR
affix lists,human annotated text,CONJUNCTION
human annotated text,Arabic stemmer,USED-FOR
human annotated text,unsupervised component,CONJUNCTION
unsupervised component,Arabic stemmer,USED-FOR
Arabic information retrieval,Task-based evaluation,USED-FOR
average precision,Task-based evaluation,EVALUATE-FOR
average precision,unstemmed text,EVALUATE-FOR
HMM-based TTS system,German speech,USED-FOR
system,football announcements,USED-FOR
system,expressive speech,USED-FOR
HMMs,intelligible neutral German speech,USED-FOR
full NPs,referential elements,CONJUNCTION
analysis,discourse copying phenomena,USED-FOR
hierarchical relations,thesaurus construction,PART-OF
superordinate - hyponym relation,hierarchical relations,HYPONYM-OF
superordinate - hyponym relation,synonym relation,CONJUNCTION
synonym relation,hierarchical relations,HYPONYM-OF
Japanese language dictionary,relations,USED-FOR
definition sentences,features,USED-FOR
definition sentences,dictionary,PART-OF
recognition rate,face recognition systems,EVALUATE-FOR
live CCTV camera input,face recognition systems,USED-FOR
Bayesian framework,face image super-resolution,USED-FOR
viewpoint,illumination,CONJUNCTION
face image super-resolution,recognition,USED-FOR
tensor space,recognition,FEATURE-OF
single modal low-resolution face image,high-resolution reconstructions,USED-FOR
multiple factor interactions of training tensor,high-resolution reconstructions,USED-FOR
high-resolution reconstructions,face recognition,USED-FOR
modalities,high-resolution reconstructions,FEATURE-OF
super-resolution,pixel-domain super-resolution and recognition,HYPONYM-OF
super-resolution,recognition,CONJUNCTION
recognition,pixel-domain super-resolution and recognition,HYPONYM-OF
maximum likelihood identity parameter vector,super-resolution,USED-FOR
maximum likelihood identity parameter vector,recognition,USED-FOR
maximum likelihood identity parameter vector,recognition,USED-FOR
high-resolution tensor space,maximum likelihood identity parameter vector,FEATURE-OF
low-resolution images,multi-modal super-resolution and face recognition,USED-FOR
recognition rates,multi-modal super-resolution and face recognition,EVALUATE-FOR
recognition rates,tensorface and eigenface representations,EVALUATE-FOR
phrase-based unigram model,statistical machine translation,USED-FOR
phrase-based unigram model,phrase-based models,COMPARE
model parameters,phrase-based unigram model,USED-FOR
block unigram model,decoding,USED-FOR
word-based trigram language model,decoding,USED-FOR
word-based trigram language model,block unigram model,CONJUNCTION
source interval projections,blocks,USED-FOR
word alignment,source interval projections,USED-FOR
unigram counts,block selection criteria,USED-FOR
unigram counts,phrase length,CONJUNCTION
phrase length,block selection criteria,USED-FOR
approach,fast detection,USED-FOR
face detection,database retrieval,CONJUNCTION
cascade of simple classifiers,detector,USED-FOR
detection rates,classifiers,EVALUATE-FOR
detection rates,modest false positive rates,CONJUNCTION
modest false positive rates,classifiers,EVALUATE-FOR
features,detector,FEATURE-OF
detection rates,low error,COMPARE
AdaBoost,classifiers,USED-FOR
classifiers,cascade,USED-FOR
training algorithm,face detection,USED-FOR
AdaBoost,face detection,USED-FOR
AdaBoost,training algorithm,COMPARE
detection,false positive rate,CONJUNCTION
method,joint embed-dings of images and text,USED-FOR
two-branch neural network,method,USED-FOR
multiple layers of linear projections,two-branch neural network,PART-OF
multiple layers of linear projections,nonlinearities,CONJUNCTION
nonlinearities,two-branch neural network,PART-OF
large-margin objective,network,USED-FOR
cross-view ranking constraints,large-margin objective,FEATURE-OF
cross-view ranking constraints,within-view neighborhood structure preservation constraints,CONJUNCTION
within-view neighborhood structure preservation constraints,large-margin objective,FEATURE-OF
accuracy,approach,EVALUATE-FOR
image-to-text and text-to-image retrieval,approach,EVALUATE-FOR
Flickr30K and MSCOCO image-sentence datasets,method,EVALUATE-FOR
phrase lo-calization,method,EVALUATE-FOR
Flickr30K Entities dataset,phrase lo-calization,USED-FOR
MT-based paraphrasing technique,QA system,USED-FOR
paraphrased questions,QA system,EVALUATE-FOR
"multilingual , multimedia data",TAP-XL Automated Analyst 's Assistant,USED-FOR
human language technology,It,USED-FOR
Unification Categorial Grammar -LRB- UCG -RRB-,Isomorphic Grammars,USED-FOR
Isomorphic Grammars,Machine Translation,USED-FOR
Isomorphic Grammars approach,MT,USED-FOR
approach,MT system design,USED-FOR
approach,monolingual UCG,USED-FOR
MT system design,monolingual UCG,CONJUNCTION
MT system design,two,HYPONYM-OF
monolingual UCG,two,HYPONYM-OF
identifying rare behaviours of interest,security domain,PART-OF
Training examples,behaviours,USED-FOR
weakly supervised algorithm,behaviours,USED-FOR
Global context,detection of abnormal behaviours,USED-FOR
computational model,discourse task,USED-FOR
model,program,PART-OF
organizational and discourse strategies,APT,USED-FOR
approach,Thai key prediction,USED-FOR
approach,Thai-English language identification,USED-FOR
n-gram models,approach,USED-FOR
n-gram models,error-correction rules,CONJUNCTION
error-correction rules,approach,USED-FOR
Thai key prediction,Thai-English language identification,CONJUNCTION
mutual information,rule-reduction algorithm,USED-FOR
mutual information,error-correction rules,USED-FOR
algorithm,language identification,USED-FOR
algorithm,key prediction,USED-FOR
accuracy,algorithm,EVALUATE-FOR
discourse understanding process,spoken dialogue systems,USED-FOR
system,user utterances,USED-FOR
method,ambiguity,USED-FOR
statistical information,method,USED-FOR
dialogue corpora,statistical information,USED-FOR
hand-crafted rules,methods,USED-FOR
system,method,USED-FOR
news articles,question-focused sentence retrieval,USED-FOR
multi-event stories,news articles,FEATURE-OF
"stochastic , graph-based method",sentence retrieval problem,USED-FOR
"stochastic , graph-based method",generic summarization,USED-FOR
baseline,it,COMPARE
method,baseline,COMPARE
TRDR score,method,EVALUATE-FOR
TRDR score,baseline,EVALUATE-FOR
defeasible reasoning,sentence analysis,USED-FOR
treatment,Japanese sentence analyses,USED-FOR
argumentation system,Japanese sentence analyses,USED-FOR
arguments,formalization of defeasible reasoning,PART-OF
arguments,defeat rules,CONJUNCTION
defeat rules,formalization of defeasible reasoning,PART-OF
defeasibility,arguments,FEATURE-OF
defeasibility,defeat rules,FEATURE-OF
methods,visual speech animation,USED-FOR
3D animation model,pseudo-muscular animation schema,USED-FOR
pseudo-muscular animation schema,animation of visual speech,USED-FOR
animation of visual speech,lipreading,USED-FOR
forming articulatory trajectories,labial coarticulation effects,USED-FOR
It,synthesis method,USED-FOR
selection of articulatory targets,It,USED-FOR
selection of articulatory targets,interpolation technique,CONJUNCTION
interpolation technique,It,USED-FOR
techniques,syntactic and pragmatic analysis,USED-FOR
robustness,methods,EVALUATE-FOR
three techniques,syntactic analysis,USED-FOR
agenda-based scheduling parser,three techniques,HYPONYM-OF
agenda-based scheduling parser,recovery technique,CONJUNCTION
recovery technique,three techniques,HYPONYM-OF
recovery technique,syntactic analysis,USED-FOR
recovery technique,failed parses,USED-FOR
recovery technique,technique,CONJUNCTION
technique,three techniques,HYPONYM-OF
abductive inference,pragmatics processing,USED-FOR
Hidden Markov Model -LRB- HMM -RRB-,HMM-based chunk tagger,CONJUNCTION
Hidden Markov Model -LRB- HMM -RRB-,named entity -LRB- NE -RRB- recognition -LRB- NER -RRB- system,USED-FOR
HMM-based chunk tagger,named entity -LRB- NE -RRB- recognition -LRB- NER -RRB- system,USED-FOR
named entity -LRB- NE -RRB- recognition -LRB- NER -RRB- system,names,USED-FOR
named entity -LRB- NE -RRB- recognition -LRB- NER -RRB- system,times and numerical quantities,USED-FOR
names,times and numerical quantities,CONJUNCTION
capitalization,deterministic internal feature of the words,HYPONYM-OF
capitalization,digitalization,CONJUNCTION
digitalization,deterministic internal feature of the words,HYPONYM-OF
MUC-6 and MUC-7 English NE tasks,system,EVALUATE-FOR
F-measures,system,EVALUATE-FOR
themes,speech and text image processing,PART-OF
recognition technology,document-oriented applications,USED-FOR
systems,text processors,CONJUNCTION
audio and scanned image data,systems,USED-FOR
speech and text-image recognition,theme,USED-FOR
documents with signal content,speech and text-image recognition,USED-FOR
text-image editor,research,HYPONYM-OF
text-image editor,wordspotter,CONJUNCTION
wordspotter,research,HYPONYM-OF
wordspotter,voice editing and indexing,CONJUNCTION
voice editing and indexing,decoding framework,CONJUNCTION
decoding framework,research,HYPONYM-OF
decoding framework,scanned-document content retrieval,USED-FOR
low-level feature representations,predicting image or video interestingness,USED-FOR
crowdsourcing tools,pairwise comparisons,USED-FOR
majority voting,crowdsourcing tools,USED-FOR
majority voting,annotation outliers/errors,USED-FOR
way,annotation outliers,USED-FOR
way,outlier detection,USED-FOR
way,interestingness prediction tasks,USED-FOR
interestingness prediction task,annotation outliers,USED-FOR
unified robust learning,interestingness prediction task,USED-FOR
unified robust learning,rank problem,USED-FOR
outlier detection,interestingness prediction tasks,CONJUNCTION
image and video interestingness benchmark datasets,approach,EVALUATE-FOR
approach,state-of-the-art alternatives,COMPARE
knowledge representation,description logics -LRB- DLs -RRB-,CONJUNCTION
data-driven selection,embodied conversational agent,USED-FOR
emphatic facial displays,data-driven selection,USED-FOR
embodied conversational agent,dialogue system,PART-OF
data,models,USED-FOR
models,facial displays,USED-FOR
cross-validation,models,EVALUATE-FOR
HMMs,classifying high-dimensional sequence data,USED-FOR
HMMs,CRFs,CONJUNCTION
CRFs,classifying high-dimensional sequence data,USED-FOR
dimensionality reduction,low-dimensional representation,USED-FOR
low-dimensional representation,classification,USED-FOR
Existing methods,supervised dimensionality reduction,USED-FOR
Sufficient dimension reduction techniques,low dimensional representation,USED-FOR
manifold,end-task,USED-FOR
discrimination of human gesture and motion categories,approach,EVALUATE-FOR
database of dynamic textures,approach,EVALUATE-FOR
algorithm,chart-based phrase structure parsing,USED-FOR
natural language,chart-based phrase structure parsing,USED-FOR
function words,phrase boundary heuristics,USED-FOR
semantic,reduction in the search space,USED-FOR
semantic,syntactic categories,COMPARE
semantic,terminal and non-terminal edges,FEATURE-OF
syntactic categories,terminal and non-terminal edges,FEATURE-OF
Automatic estimation of word significance,speech-based Information Retrieval -LRB- IR -RRB-,USED-FOR
weighted word error rate -LRB- WWER -RRB-,automatic speech recognition -LRB- ASR -RRB-,EVALUATE-FOR
word error rate -LRB- WER -RRB-,weighted word error rate -LRB- WWER -RRB-,COMPARE
decoding strategy,WWER,USED-FOR
Minimum Bayes-Risk framework,decoding strategy,USED-FOR
ASR,IR,CONJUNCTION
automatic estimation method,word significance -LRB- weights -RRB-,EVALUATE-FOR
evaluation measures,ASR,EVALUATE-FOR
evaluation measures,IR,EVALUATE-FOR
ASR,IR,CONJUNCTION
method,speech-based information retrieval system,USED-FOR
speech-based information retrieval system,IR system,HYPONYM-OF
Methods,spelling correction,USED-FOR
spelling correction,languages,USED-FOR
English,languages,HYPONYM-OF
approach,spelling correction,USED-FOR
agglutinative languages,spelling correction,USED-FOR
two-level morphology,spelling correction,USED-FOR
two-level morphology,dynamic-programming based search algorithm,CONJUNCTION
dynamic-programming based search algorithm,spelling correction,USED-FOR
Turkish,spelling correction,USED-FOR
training method,localized phrase-based prediction model,USED-FOR
localized phrase-based prediction model,statistical machine translation -LRB- SMT -RRB-,USED-FOR
model,local phrase re-ordering,USED-FOR
maximum likelihood criterion,log-linear block bigram model,USED-FOR
real-valued features,log-linear block bigram model,USED-FOR
real-valued features,binary features,CONJUNCTION
language model score,real-valued features,HYPONYM-OF
binary features,log-linear block bigram model,USED-FOR
features,training algorithm,USED-FOR
system,baseline,COMPARE
Arabic-English translation task,system,EVALUATE-FOR
Arabic-English translation task,baseline,EVALUATE-FOR
data structure,phrase-based statistical machine translation,USED-FOR
data structure,retrieval of arbitrarily long phrases,USED-FOR
computational complexity,average retrieval times,CONJUNCTION
phrase translations,suffix array-based data structure,PART-OF
retrieval time,sampling,EVALUATE-FOR
translation quality,sampling,EVALUATE-FOR
continuous speech recognition -LRB- CSR -RRB- techniques,Spoken Language Systems -LRB- SLS -RRB-,USED-FOR
Spoken Language Systems -LRB- SLS -RRB-,military and civilian computer-based systems,USED-FOR
spoken language technology,military and civilian systems,USED-FOR
CSR,mobile military command and control,USED-FOR
acoustic modelling,rapid search,CONJUNCTION
acoustic modelling,large-vocabulary CSR,USED-FOR
acoustic modelling,techniques,HYPONYM-OF
acoustic modelling,military application tasks,USED-FOR
rapid search,recognition-time adaptation techniques,CONJUNCTION
rapid search,large-vocabulary CSR,USED-FOR
rapid search,techniques,HYPONYM-OF
rapid search,military application tasks,USED-FOR
recognition-time adaptation techniques,large-vocabulary CSR,USED-FOR
recognition-time adaptation techniques,techniques,HYPONYM-OF
recognition-time adaptation techniques,military application tasks,USED-FOR
large-vocabulary CSR,ARPA large-vocabulary CSR corpora,USED-FOR
techniques,military application tasks,USED-FOR
ARPA large-vocabulary CSR corpora,techniques,EVALUATE-FOR
word vectors,similarity between words,USED-FOR
vector space model,word vectors,USED-FOR
methods,constructing word vectors,USED-FOR
"LSA-based , cooccurrence-based and dictionary-based methods",similarity,USED-FOR
taxonomic similarity,similarity,HYPONYM-OF
taxonomic similarity,associative similarity,CONJUNCTION
associative similarity,similarity,HYPONYM-OF
dictionary-based word vectors,taxonomic similarity,USED-FOR
LSA-based and the cooccurrence-based word vectors,associative similarity,USED-FOR
Arabic-English,maximum entropy word alignment algorithm,USED-FOR
supervised training data,maximum entropy word alignment algorithm,USED-FOR
training material,machine translation,USED-FOR
probabilistic model,alignment,USED-FOR
probabilistic model,link decisions,USED-FOR
word alignment techniques,machine translation tests,USED-FOR
algorithm,human annotation,COMPARE
Cooperative Model,natural language understanding,USED-FOR
natural language understanding,dialogue system,USED-FOR
Finite State Model -LRB- FSM -RRB-,this,USED-FOR
Finite State Model -LRB- FSM -RRB-,Statistical Learning Model -LRB- SLM -RRB-,CONJUNCTION
Statistical Learning Model -LRB- SLM -RRB-,this,USED-FOR
FSM,language understanding,USED-FOR
ambiguity resolution of right-side dependencies,dependency parsing,USED-FOR
connectivity,dependency tree,EVALUATE-FOR
SVM learning,two-phase shift-reduce dependency parser,USED-FOR
left-side dependents,right-side nominal dependents,CONJUNCTION
right-side verbal dependents,right-side nominal dependents,CONJUNCTION
method,shift-reduce dependency parsers,COMPARE
Chine language,method,EVALUATE-FOR
Chine language,shift-reduce dependency parsers,EVALUATE-FOR
dependency accuracy,method,EVALUATE-FOR
dependency accuracy,shift-reduce dependency parsers,EVALUATE-FOR
commands,rules,CONJUNCTION
commands,mathematical expressions,USED-FOR
rules,mathematical expressions,USED-FOR
evaluation method,paraphrases,EVALUATE-FOR
latent variable model,evaluation method,USED-FOR
accuracy,method,EVALUATE-FOR
topic information,method,USED-FOR
methods,hardware,CONJUNCTION
methods,integrated Spoken Language System,USED-FOR
hardware,integrated Spoken Language System,USED-FOR
algorithms,N-Best sentence hypotheses,USED-FOR
fully-connected first-order statistical class grammar,grammar coverage problems,USED-FOR
board,speech-search algorithm,USED-FOR
Intel i860 chip,board,PART-OF
Intel i860 chip,SUN 4,COMPARE
Intel i860 chip,straight C code,USED-FOR
SUN 4,straight C code,USED-FOR
board,system,USED-FOR
VME bus,SUN4,PART-OF
natural language system,board,PART-OF
natural language system,application back end,CONJUNCTION
application back end,board,PART-OF
image,estimating location information,USED-FOR
automated representation learning,estimating location information,USED-FOR
geometric prior,it,USED-FOR
parallel transport on manifolds,geometric prior,USED-FOR
approach,heterogeneous data modalities,USED-FOR
geo-tags,heterogeneous data modalities,HYPONYM-OF
geo-tags,videos,CONJUNCTION
videos,heterogeneous data modalities,HYPONYM-OF
transferring knowledge,grouping of data,USED-FOR
datasets,approach,EVALUATE-FOR
im2gps,datasets,HYPONYM-OF
im2gps,San Francisco,CONJUNCTION
San Francisco,datasets,HYPONYM-OF
San Francisco,MediaEval2010,CONJUNCTION
MediaEval2010,datasets,HYPONYM-OF
weak duration constraints,HMMs,FEATURE-OF
clean speech,models,USED-FOR
decoder,word matches,USED-FOR
unrealistic durations,word matches,FEATURE-OF
unrolling HMMs,word duration constraints,USED-FOR
unrolling HMMs,lattice,USED-FOR
word duration probabilities,state transitions,USED-FOR
Viterbi decoding,HMMs,CONJUNCTION
connected-digit recognition,decoder,USED-FOR
duration constraints,decoder,USED-FOR
decoder,word matches,USED-FOR
Tree Adjoining Grammars,extended domain of locality -LRB- EDOL -RRB-,FEATURE-OF
feature structure unification,parsing,USED-FOR
LEXSYS,lexicalized grammars of English,HYPONYM-OF
LEXSYS,XTAG,COMPARE
XTAG,lexicalized grammars of English,HYPONYM-OF
grammars,EDOL,USED-FOR
Identity uncertainty,real-world data analysis,HYPONYM-OF
relational probability model,approach,USED-FOR
relational probability model,generative model,USED-FOR
generative model,domain,USED-FOR
models of author and title corruption,relational probability model,PART-OF
models of author and title corruption,probabilistic citation grammar,CONJUNCTION
probabilistic citation grammar,relational probability model,PART-OF
models,Identity uncertainty,USED-FOR
Markov chain Monte Carlo,Inference,USED-FOR
methods,Inference,USED-FOR
citation data sets,method,EVALUATE-FOR
method,current algorithms,COMPARE
method,citation matching,USED-FOR
current algorithms,citation matching,USED-FOR
algorithm,object characteristics,USED-FOR
author names,object characteristics,HYPONYM-OF
supervised learning,human biases in summarization,USED-FOR
unsupervised learning,supervised learning,CONJUNCTION
unsupervised learning,human biases in summarization,USED-FOR
clustering framework,probabilistic decision tree,FEATURE-OF
newspaper corpus,corpus of human created extracts,USED-FOR
clustering framework,them,CONJUNCTION
parallel English and Chinese court judgments,"small , domain-specific corpus",PART-OF
sentence-aligned corpus,translation equivalences,USED-FOR
frequency profiles,parallel concordances,PART-OF
method,statistical methods,COMPARE
method,lexical approaches,COMPARE
large corpora,statistical methods,USED-FOR
bilingual dictionaries,lexical approaches,USED-FOR
precision,recall,CONJUNCTION
translation lexicon,legal terminology,USED-FOR
machine learning techniques,problem,USED-FOR
emoticons,training data,FEATURE-OF
algorithm,3D geometric structure of outdoor video scenes,USED-FOR
spatio-temporal video segmentation,dynamic scene,USED-FOR
geometric classes,dynamic scene,PART-OF
region-classifiers,geometric classes,USED-FOR
appearance and motion features,region-classifiers,USED-FOR
dataset,method,EVALUATE-FOR
geometric context of video,dataset,FEATURE-OF
annotated outdoor videos,dataset,PART-OF
semi-supervised learning framework,labeled data,USED-FOR
high confidence predictions,semi-supervised learning framework,USED-FOR
unlabeled data,high confidence predictions,USED-FOR
system,geometric context of video,USED-FOR
accuracy,system,EVALUATE-FOR
system,marine weather forecasts,USED-FOR
formatted weather data,system,USED-FOR
natural sublanguages with stereotyped text structure,synthesis,USED-FOR
linguistic and non-linguistic knowledge,RAREAS,USED-FOR
bilingual or multi-lingual texts,approach,USED-FOR
FlexP,bottom-up pattern-matching parser,HYPONYM-OF
bottom-up pattern-matching parser,flexibilities,USED-FOR
flexibilities,restricted natural language,FEATURE-OF
flexibilities,limited-domain computer system,PART-OF
restricted natural language,bottom-up pattern-matching parser,USED-FOR
histogram of keywords,information retrieval techniques,USED-FOR
histogram of keywords,document representation,USED-FOR
discussing,activity,HYPONYM-OF
discussing,planning,CONJUNCTION
planning,activity,HYPONYM-OF
planning,informing,CONJUNCTION
informing,activity,HYPONYM-OF
informing,story-telling,CONJUNCTION
story-telling,activity,HYPONYM-OF
activities,automatic detection,USED-FOR
